Number in the App	Added Sugar List Name	Number in Added Sugar Repository	MonstersFamily	Description
1	Corn Dextrin	46	Dextrin Monsters	Corn Dextrins are a type of Dextrin but only extracted from corns.
2	Corn Maltodextrin	47	Dextrin Monsters	Corn Maltodextrin is a white powder made from corn, rice, potato starch, or wheat. Even though it comes from plants, it's highly processed. To make it, first the starches are cooked, and then acids or enzymes such as heat-stable bacterial alpha-amylase are added to break it down further.
3	Dextrin	63	Dextrin Monsters	"Dextrins are a group of low-molecular-weight carbohydrates produced by the hydrolysis of starch or glycogen. Dextrins are white, yellow, or brown powders that are partially or fully water-soluble, yielding optically active solutions of low viscosity. Most of them can be detected with iodine solution, giving a red coloration; one distinguishes erythrodextrin (dextrin that colors red) and achrodextrin (giving no color)"
4	Maltodextrin	129	Dextrin Monsters	Maltodextrin is usually only present in food in small amounts, but Maltodextrin is high on the glycemic index (GI), meaning that it can cause a spike in one's blood sugar.
5	Organic Maltodextrin	189	Dextrin Monsters	Organic Maltodextrin is usually only present in food in small amounts, but Organic Maltodextrin is high on the glycemic index (GI), meaning that it can cause a spike in one's blood sugar.
6	Organic Rice Maltodextrin	201	Dextrin Monsters	Maltodextrin is a sweet-to-taste, hygroscopic powder that is generally creamy white in color. The partial hydrolysis of starch results in the creation of the rice Maltodextrin. Most of the companies that are engaged in the manufacturing of Rice Maltodextrin use rice that contains some amylopectin. No chemical additives or resins are used in the certified organic process.
7	Organic Tapioca Maltodextrin	207	Dextrin Monsters	No chemical additives or resins are used in the certified organic process. Tapioca maltodextrin is a food grade dextrose made from Tapioca. Tapioca is essentially a flavorless, starchy ingredient that is processed from dried cassava roots and is used for cooking.
8	Rice Maltodextrin	233	Dextrin Monsters	Maltodextrin is a sweet-to-taste, hygroscopic powder that is generally creamy white in color. The partial hydrolysis of starch results in the creation of the rice Maltodextrin. Most of the companies that are engaged in the manufacturing of Rice Maltodextrin use rice that contains some amylopectin.
9	Tapioca Dextrin	245	Dextrin Monsters	Tapioca dextrin is a sugar that is extracted from the cassava plant.
10	Tapioca Maltodextrin	246	Dextrin Monsters	Tapioca maltodextrin is derived from tapioca starch using a natural enzymatic process, and is often used as a stabilizer. It's smooth texture and neutral flavor makes tapioca maltodextrin an ideal fat replacer in desserts, cheese products, dressings, and sauces.
11	Wheat Dextrin	255	Dextrin Monsters	Extracted from wheat starch, and widely used to add fiber in processed foods.
12	Anhydrous Dextrose	3	OSE Monsters	"Anhydrous dextrose is a simple carbohydrate that is directly absorbed into the blood. It has a glycemic index of 100%. It is a colorless, odorless white powder that is less sweet than cane sugar; soluble in water and partially soluble in alcohol."
13	Crystalline Fructose	53	OSE Monsters	"Crystalline fructose is derived from corn just like high fructose corn syrup. Crystalline fructose is sweeter than table sugar and HFCS; it is a valuable sweetener for low calorie, sugar-free foods and beverages since less can be used to achieve the same sweetness"
14	Dextrose	64	OSE Monsters	Dextrose is the name of a simple sugar that is made from corn and is chemically identical to glucose, or blood sugar. Dextrose is often used in baking products as a sweetener, and can be commonly found in items such as processed foods and corn syrup.
15	Dextrose Anhydrous Glucose	65	OSE Monsters	Dextrose anhydrous glucose is not a common table sugar. It is crystallized D-glucose compounds. It has no water molecule in its chemical structure and is a monosaccharide, a simpler sugar than the fructose cane sugar. This means that it is a dry sugar.
16	Dextrose Sugar	66	OSE Monsters	Dextrose is the name of a simple sugar that is made from corn and is chemically identical to glucose, or blood sugar. Dextrose is often used in baking products as a sweetener and can be commonly found in items such as processed foods and corn syrup.
17	Dried Glucose Syrup	75	OSE Monsters	Dried glucose syrups are carbohydrate powders with a slightly sweet taste that are used as sweeteners, nutritive components, or texturizing agents.
