Number in the App	Added Sugar List Name	Number in Added Sugar Repository	MonstersFamily
1	Dextrin	65	Dextrin Monsters
2	Corn dextrin	43	Dextrin Monsters
3	Tapioca dextrin	235	Dextrin Monsters
4	Wheat dextrin	244	Dextrin Monsters
5	Maltodextrin	117	Dextrin Monsters
6	Organic maltodextrin	176	Dextrin Monsters
7	Tapioca maltodextrin	192	Dextrin Monsters
8	Organic tapioca maltodextrin	192	Dextrin Monsters
9	Rice maltodextrin	221	Dextrin Monsters
10	Corn maltodextrin	44	Dextrin Monsters
11	Cane crystals	23	Cane Monsters
12	Evaporated cane crystals	74	Cane Monsters
13	Organic cane crystals	142	Cane Monsters
14	Cane juice	24	Cane Monsters
15	Dehydrated cane juice	62	Cane Monsters
16	Evaporated cane juice	75	Cane Monsters
17	Organic evaporated cane juice	159	Cane Monsters
18	Cane juice crystals	25	Cane Monsters
19	Cane molasses	26	Cane Monsters
20	Dextrose	66	OSE Monsters
21	Dextrose sugar	68	OSE Monsters
22	Anhydrous dextrose	3	OSE Monsters
23	Cultured dextrose	53	OSE Monsters
24	Organic dextrose	158	OSE Monsters
25	Dextrose anhydrous glucose	67	OSE Monsters
26	Glucose	86	OSE Monsters
27	Glucose syrup	89	OSE Monsters
28	Glucose solids	88	OSE Monsters
29	Glucose syrup solids	90	OSE Monsters
30	Dried glucose syrup	72	OSE Monsters
31	Organic glucose syrup	164	OSE Monsters
32	Wheat glucose syrup	245	OSE Monsters
33	Glucose fructose syrup	87	OSE Monsters
34	Fructose	82	OSE Monsters
35	Crystalline fructose	50	OSE Monsters
36	High fructose corn syrup	98	OSE Monsters
37	Maltose	119	OSE Monsters
38	High maltose corn syrup solids	99	OSE Monsters
39	Lactose	110	OSE Monsters
40	Organic lactose	173	OSE Monsters
41	Polydextrose	203	OSE Monsters
42	Sucrose	227	OSE Monsters
43	Trehalose	239	OSE Monsters
44	Syrup	233	Syrup Monsters
45	Organic invert syrup	172	Syrup Monsters
46	Refiner's syrup	220	Syrup Monsters
47	Sugar syrup	232	Syrup Monsters
48	Caramelized sugar syrup	32	Syrup Monsters
49	Organic invert sugar syrup	171	Syrup Monsters
50	Sugar cane syrup	231	Syrup Monsters
51	Organic sugar cane syrup	191	Syrup Monsters
52	Organic invert sugar cane syrup	170	Syrup Monsters
53	Cane syrup	29	Syrup Monsters
54	Cane refinery syrup	27	Syrup Monsters
55	Organic cane syrup	144	Syrup Monsters
56	Evaporated cane syrup	78	Syrup Monsters
57	Dried cane syrup	70	Syrup Monsters
58	Organic dried cane syrup	155	Syrup Monsters
59	Invert cane syrup	107	Syrup Monsters
60	Organic invert cane syrup	168	Syrup Monsters
61	Evaporated cane juice invert syrup	76	Syrup Monsters
62	Organic evaporated cane juice syrup	160	Syrup Monsters
63	Agave syrup	2	Syrup Monsters
64	Organic agave syrup	136	Syrup Monsters
65	Barley malt syrup	8	Syrup Monsters
66	Organic barley malt syrup	138	Syrup Monsters
67	Rice syrup	222	Syrup Monsters
68	Organic rice syrup	187	Syrup Monsters
69	Organic rice syrup solids	188	Syrup Monsters
70	Brown rice syrup	19	Syrup Monsters
71	Brown rice syrup solids	20	Syrup Monsters
72	Organic brown rice syrup	140	Syrup Monsters
73	Organic dried brown rice syrup	153	Syrup Monsters
74	Brown sugar syrup	22	Syrup Monsters
75	Corn syrup	46	Syrup Monsters
76	Corn syrup butter	47	Syrup Monsters
77	Corn syrup solids	48	Syrup Monsters
78	Organic corn syrup solids	151	Syrup Monsters
79	Cultured corn syrup solids	52	Syrup Monsters
80	Corn barley malt syrup	42	Syrup Monsters
81	Dried corn syrup	71	Syrup Monsters
82	Organic coconut syrup	149	Syrup Monsters
83	Date syrup	60	Syrup Monsters
84	Organic date syrup	152	Syrup Monsters
85	Golden syrup	92	Syrup Monsters
86	Malt syrup 	116	Syrup Monsters
87	Maple syrup	123	Syrup Monsters
88	Pure maple syrup	211	Syrup Monsters
89	Maple syrup concentrate	124	Syrup Monsters
90	Organic maple syrup	175	Syrup Monsters
91	Oat syrup solids	132	Syrup Monsters
92	Organic oat syrup solids	181	Syrup Monsters
93	Beet syrup	11	Syrup Monsters
94	Sugar beet syrup	229	Syrup Monsters
95	Tapioca syrup	236	Syrup Monsters
96	Organic tapioca syrup	193	Syrup Monsters
97	Organic Tapioca Syrup Solids	194	Syrup Monsters
98	Pineapple syrup	202	Syrup Monsters
99	Sorghum syrup	225	Syrup Monsters
100	Apple juice concentrate	4	Concentrate Monsters
101	Organic apple juice concentrate	137	Concentrate Monsters
102	Orange juice concentrate	133	Concentrate Monsters
103	Blood orange juice concentrate	15	Concentrate Monsters
104	Tangerine juice concentrate	234	Concentrate Monsters
105	Pear juice concentrate	200	Concentrate Monsters
106	Caramelized pear juice concentrate	30	Concentrate Monsters
107	Peach juice concentrate	199	Concentrate Monsters
108	Grape juice concentrate	95	Concentrate Monsters
109	Organic grape juice concentrate	165	Concentrate Monsters
110	Organic white grape juice concentrate	195	Concentrate Monsters
111	Cherry juice concentrate	34	Concentrate Monsters
112	Organic cherry juice concentrate	145	Concentrate Monsters
113	Red cherry juice concentrate	219	Concentrate Monsters
114	Tart cherry juice concentrate	237	Concentrate Monsters
115	Organic dried cherry juice concentrate	156	Concentrate Monsters
116	Strawberry juice concentrate	226	Concentrate Monsters
117	Organic strawberry juice concentrate	189	Concentrate Monsters
118	Raspberry juice concentrate	216	Concentrate Monsters
119	Blueberry juice concentrate	16	Concentrate Monsters
120	Organic blueberry juice concentrate	139	Concentrate Monsters
121	Blackberry juice concentrate	12	Concentrate Monsters
122	Marion blackberry juice concentrate	125	Concentrate Monsters
123	Black currant juice concentrate	13	Concentrate Monsters
124	Boysenberry juice concentrate	17	Concentrate Monsters
125	Cranberry juice concentrate	49	Concentrate Monsters
126	Organic dried cranberry juice concentrate	157	Concentrate Monsters
127	Loganberry juice concentrate	114	Concentrate Monsters
128	Date juice concentrate	57	Concentrate Monsters
129	Goji berry juice concentrate	91	Concentrate Monsters
130	Raisin juice concentrate	213	Concentrate Monsters
131	Organic raisin juice concentrate	185	Concentrate Monsters
132	Plum juice concentrate	204	Concentrate Monsters
133	Pomegranate juice concentrate	206	Concentrate Monsters
134	Guava juice concentrate	97	Concentrate Monsters
135	Grapefruit juice concentrate	94	Concentrate Monsters
136	Pink grapefruit juice concentrate	203	Concentrate Monsters
137	Pineapple juice concentrate	201	Concentrate Monsters
138	Organic pineapple juice concentrate	182	Concentrate Monsters
139	Honeydew juice concentrate	101	Concentrate Monsters
140	Watermelon juice concentrate	243	Concentrate Monsters
141	Melon juice concentrate	126	Concentrate Monsters
142	Kiwi juice concentrate	109	Concentrate Monsters
143	Mango juice concentrate	120	Concentrate Monsters
144	Mangosteen juice concentrate	121	Concentrate Monsters
145	Passion fruit juice concentrate	198	Concentrate Monsters
146	Fruit juice concentrate	84	Concentrate Monsters
147	Organic fruit juice concentrate	163	Concentrate Monsters
148	Beet juice concentrate	9	Concentrate Monsters
149	Carrot juice concentrate	33	Concentrate Monsters
150	Raw sugar	218	Sugar Monsters
151	Sugar	228	Sugar Monsters
152	Organic sugar	190	Sugar Monsters
153	Cultured sugar	54	Sugar Monsters
154	Decorative sugars	61	Sugar Monsters
155	Invert sugar	106	Sugar Monsters
156	Organic invert sugar	169	Sugar Monsters
157	Liquid sugar	113	Sugar Monsters
158	Powdered sugar	208	Sugar Monsters
159	Organic powdered sugar	184	Sugar Monsters
160	Granulated sugar	93	Sugar Monsters
161	Sugar cane granulated	230	Sugar Monsters
162	Raw cane sugar	217	Sugar Monsters
163	Cane sugar	28	Sugar Monsters
164	Pure cane sugar	210	Sugar Monsters
165	Dehydrated cane sugar	63	Sugar Monsters
166	Evaporated cane sugar	77	Sugar Monsters
167	Organic dried cane sugar	154	Sugar Monsters
168	Organic cane sugar	143	Sugar Monsters
169	Invert cane sugar	105	Sugar Monsters
170	Organic invert cane sugar	167	Sugar Monsters
171	Organic panela sugar	183	Sugar Monsters
172	Organic fair trade unrefined cane sugar	162	Sugar Monsters
173	Powdered cane sugar	207	Sugar Monsters
174	Milled cane sugar	127	Sugar Monsters
175	Organic milled cane sugar	177	Sugar Monsters
176	Coconut sugar	39	Sugar Monsters
177	Coconut sugar crystals	40	Sugar Monsters
178	Organic coconut sugar	148	Sugar Monsters
179	Coconut blossom sugar	36	Sugar Monsters
180	Coconut palm sugar	38	Sugar Monsters
181	Organic coconut palm sugar	150	Sugar Monsters
182	Palm sugar	196	Sugar Monsters
183	Maple sugar	122	Sugar Monsters
184	Grape sugar	96	Sugar Monsters
185	Beet sugar	10	Sugar Monsters
186	Cultured corn sugar	51	Sugar Monsters
187	White sugar	246	Sugar Monsters
188	Brown sugar	21	Sugar Monsters
189	Light brown sugar	112	Sugar Monsters
190	Dark brown sugar	56	Sugar Monsters
191	Brown cane sugar	18	Sugar Monsters
192	Light brown cane sugar	111	Sugar Monsters
193	Organic light brown sugar	174	Sugar Monsters
194	Dark brown cane sugar	55	Sugar Monsters
195	Caramelized sugar	31	Sugar Monsters
196	Organic brown sugar	141	Sugar Monsters
197	Turbinado sugar	241	Sugar Monsters
198	Turbinado brown sugar	240	Sugar Monsters
199	Demerara sugar	64	Sugar Monsters
200	Confectioners sugar	41	Sugar Monsters
201	Fondant sugar	79	Sugar Monsters
202	Icing Sugar	103	Sugar Monsters
203	Date crystals	58	Other Monsters
204	Date nectar	59	Other Monsters
205	Organic agave	134	Other Monsters
206	Agave nectar	1	Other Monsters
207	Organic agave nectar	135	Other Monsters
208	Coconut nectar	37	Other Monsters
209	Organic coconut nectar	146	Other Monsters
210	Organic coconut palm nectar	147	Other Monsters
211	Organic evaporated coconut palm nectar	161	Other Monsters
212	Raisin nectar	214	Other Monsters
213	Barley malt	6	Other Monsters
214	Barley malt extract	7	Other Monsters
215	Diastatic malt	69	Other Monsters
216	Corn sweetener	45	Other Monsters
217	Fruit juice	83	Other Monsters
218	Honey	100	Other Monsters
219	Pure white honey	212	Other Monsters
220	Clover honey	35	Other Monsters
221	Wildflower honey	247	Other Monsters
222	Organic raw honey	186	Other Monsters
223	Organic honey	166	Other Monsters
224	Non-GMO honey	131	Other Monsters
225	Organic non-GMO honey	180	Other Monsters
226	Processed honey	209	Other Monsters
227	Honey Powder	102	Other Monsters
228	Malt extract	115	Other Monsters
229	Panela	197	Other Monsters
230	Rapadura	215	Other Monsters
231	Muscovado	130	Other Monsters
232	Treacle	238	Other Monsters
233	Molasses	128	Other Monsters
234	Barbados molasses	5	Other Monsters
235	Blackstrap molasses	14	Other Monsters
236	Sorghum	223	Other Monsters
237	Sorghum molasses	224	Other Monsters
238	Unsulfured molasses	242	Other Monsters
239	Organic molasses	178	Other Monsters
240	Organic molasses granules	179	Other Monsters
241	Molasses powder	129	Other Monsters
242	Fructan	80	Other Monsters
243	Maltol	118	Other Monsters
244	Ethyl maltol	73	Other Monsters
245	Fructooligosaccharides	81	Other Monsters
246	Galactooligosaccharides	85	Other Monsters
247	Isomalto-oligosaccharide	104	Other Monsters
